Tour,surface,best_of,w_dk_score,l_dk_score,WIO,LIO,straight_sets
WTA,Hard,3,87.75,5,0.669902913,0.330097087,1
ATP,Clay,3,81.75,8.25,0.932038835,0.067961165,1
WTA,Hard,3,87.75,5,0.650485437,0.349514563,1
ATP,Clay,3,79,10,0.932038835,0.067961165,1
ATP,Clay,3,67,27.25,0.932038835,0.067961165,0
WTA,Hard,3,87.75,5,0.637254902,0.362745098,1
ATP,Hard,3,66.5,32,0.932038835,0.067961165,0
WTA,Hard,3,87.75,5,0.611650485,0.388349515,1
WTA,Hard,3,87.75,5,0.611650485,0.388349515,1
WTA,Hard,3,87.75,5,0.607843137,0.392156863,1
ATP,Hard,3,60.5,36.5,0.932038835,0.067961165,0
WTA,Hard,3,87.75,5,0.59223301,0.40776699,1
ATP,Clay,3,89.75,2.5,0.931372549,0.068627451,1
WTA,Hard,3,87.75,5,0.533980583,0.466019417,1
WTA,Hard,3,87.75,5,0.529411765,0.470588235,1
ATP,Clay,3,83.75,10.75,0.931372549,0.068627451,1
ATP,Hard,3,78.5,14,0.931372549,0.068627451,1
WTA,Hard,3,87.75,5,0.475728155,0.524271845,1
ATP,Hard,3,77.5,13.75,0.931372549,0.068627451,1
WTA,Hard,3,87.75,5,0.401960784,0.598039216,1
WTA,Hard,3,87.75,5,0.401960784,0.598039216,1
WTA,Grass,3,87.75,5,0.388349515,0.611650485,1
ATP,Clay,3,77,12.5,0.931372549,0.068627451,1
WTA,Hard,3,87.75,5,0.356435644,0.643564356,1
WTA,Hard,3,87.75,5,0.339805825,0.660194175,1
ATP,Clay,3,77,12.5,0.931372549,0.068627451,1
ATP,Hard,5,87.4,6.2,0.931372549,0.068627451,1
ATP,Grass,5,87.4,6.2,0.911764706,0.088235294,1
ATP,Grass,5,87.3,6.1,0.921568627,0.078431373,1
WTA,Clay,3,87.25,9,0.951456311,0.048543689,1
WTA,Hard,3,87.25,9,0.796116505,0.203883495,1
WTA,Hard,3,87.25,9,0.776699029,0.223300971,1
WTA,Hard,3,87.25,9,0.72815534,0.27184466,1
WTA,Hard,3,87.25,9,0.631067961,0.368932039,1
WTA,Hard,3,87.25,9,0.598039216,0.401960784,1
WTA,Hard,3,87.25,9,0.553398058,0.446601942,1
WTA,Grass,3,87.25,9,0.533980583,0.466019417,1
WTA,Hard,3,87.25,9,0.504854369,0.495145631,1
WTA,Hard,3,87,15.25,0.45631068,0.54368932,0
ATP,Hard,5,86.9,5.7,0.932038835,0.067961165,1
ATP,Hard,5,86.9,5.7,0.921568627,0.078431373,1
ATP,Hard,5,86.9,5.7,0.81372549,0.18627451,1
ATP,Hard,5,86.8,6.1,0.833333333,0.166666667,1
WTA,Grass,3,86.5,9,0.941747573,0.058252427,1
ATP,Hard,5,86.5,4.2,0.941176471,0.058823529,1
ATP,Hard,3,72.75,18.75,0.931372549,0.068627451,0
ATP,Clay,5,86.5,4.2,0.921568627,0.078431373,1
WTA,Hard,3,86.5,9,0.911764706,0.088235294,1
ATP,Hard,3,71.5,17.5,0.931372549,0.068627451,1
WTA,Grass,3,86.5,8.25,0.894230769,0.105769231,1
ATP,Hard,3,71.5,17.5,0.931372549,0.068627451,1
ATP,Hard,5,86.5,4.2,0.843137255,0.156862745,1
WTA,Hard,3,86.5,8.25,0.843137255,0.156862745,1
